countryname, urbanpop, ruralpop, totalpop, regionname
Haiti               ,6318    ,4925     ,11243   , Latin America and Caribbean                                                                               
Honduras            ,5524    ,4045     ,9569   , Latin America and Caribbean                                                                                
Jamaica             ,1627    ,1279     ,2906    , Latin America and Caribbean                                                                              
Mexico              ,106450  ,25878    ,132328  , Latin America and Caribbean                                                                               
Nicaragua           ,3732    ,2619     ,6351    , Latin America and Caribbean                                                                               
Panama              ,2876    ,1350     ,4226   , Latin America and Caribbean                                                                               
Paraguay            ,4320    ,2662     ,6982  , Latin America and Caribbean                                                                                
Peru                ,25721   ,7213     ,32934   , Latin America and Caribbean                                                                               
Trinodad and Tobago ,732      ,644       ,1375 , Latin America and Caribbean                                                                                  
Uruguay             ,3323    ,159       ,3482  , Latin America and Caribbean                                                                  
